product_name,product_type,active_ingredients,skin_type,benefits,brand,product_name_clean,active_ingredients_clean,benefits_clean,text,normalized_text,clean_text
Avoskin Your Skin Bae Vitamin C 3% + Niacinamide 2% + Mandarin Orange Fruit Extract Serum,Serum,"Aqua, Glycerin, 3-O-Ethyl Ascorbic Acid, Butylene Glycol, Niacinamide, Hydroxyethyl Cellulose, vitamin C, 
Mandarin OrangeCitrus Nobilis (Mandarin Orange) Fruit Extract,
 Phenoxyethanol, Chlorphenesin, Dissodium EDTA, Sodium Bisulfite","Semua Jenis Kulit, 
Kusam","Mencerahkan kulit secara efektif
Menyamarkan noda bekas jerawat
Melembapkan kulit
Menyamarkan tampilan pori-pori
Berperan sebagai antioksidan untuk melindungi kulit dari radikal bebas
Merawat kulit agar tampak lebih sehat
Menghambat produksi dan akumulasi melanin untuk hasil kulit lebih cerah maksimal",avoskin,avoskin your skin bae vitamin c 3% + niacinamide 2% + mandarin orange fruit extract serum,aqua glycerin 3 o ethyl ascorbic acid butylene glycol niacinamide hydroxyethyl cellulose vitamin c mandarin orangecitrus nobilis mandarin orange fruit extract phenoxyethanol chlorphenesin dissodium edta sodium bisulfite,mencerahkan kulit secara efektif menyamarkan noda bekas jerawat melembapkan kulit menyamarkan tampilan pori pori berperan sebagai antioksidan untuk melindungi kulit dari radikal bebas merawat kulit agar tampak lebih sehat menghambat produksi dan akumulasi melanin untuk hasil kulit lebih cerah maksimal,avoskin your skin bae vitamin c 3% + niacinamide 2% + mandarin orange fruit extract serum aqua glycerin 3 o ethyl ascorbic acid butylene glycol niacinamide hydroxyethyl cellulose vitamin c mandarin orangecitrus nobilis mandarin orange fruit extract phenoxyethanol chlorphenesin dissodium edta sodium bisulfite mencerahkan kulit secara efektif menyamarkan noda bekas jerawat melembapkan kulit menyamarkan tampilan pori pori berperan sebagai antioksidan untuk melindungi kulit dari radikal bebas merawat kulit agar tampak lebih sehat menghambat produksi dan akumulasi melanin untuk hasil kulit lebih cerah maksimal,avoskin your skin bae vitamin c niacinamide mandarin orange fruit extract serum aqua glycerin o ethyl ascorbic acid butylene glycol niacinamide hydroxyethyl cellulose vitamin c mandarin orangecitrus nobilis mandarin orange fruit extract phenoxyethanol chlorphenesin dissodium edta sodium bisulfite mencerahkan kulit secara efektif menyamarkan noda bekas jerawat melembapkan kulit menyamarkan tampilan pori pori berperan sebagai antioksidan untuk melindungi kulit dari radikal bebas merawat kulit agar tampak lebih sehat menghambat produksi dan akumulasi melanin untuk hasil kulit lebih cerah maksimal,avoskin your skin bae vitamin c niacinamide mandarin orange fruit extract serum aqua glycerin o ethyl ascorbic acid butylene glycol niacinamide hydroxyethyl cellulose vitamin c mandarin orangecitrus nobilis mandarin orange fruit extract phenoxyethanol chlorphenesin dissodium edta sodium bisulfite cerah kulit cara efektif samar noda bekas jerawat lembap kulit samar tampil pori pori peran bagai antioksidan untuk lindung kulit dari radikal bebas rawat kulit agar tampak lebih sehat hambat produksi dan akumulasi melanin untuk hasil kulit lebih cerah maksimal
Avoskin Ultra Brightening Cream,Moisturizer,"Alpha-Arbutin, Retinol, BHA, Glycyrrhiza Uralensis (Licorice) Root Extract, Tocopheryl Acetate, Squalane, Butyrospermum Parkii (Shea) Butter, Glycerin, Cholesterol, Hydrogenated Lecithin","Kulit normal. kulit kusam, menua, berjerawat ringann","berfungsi untuk membantu melawan tampilan kusam, bintik hitam dan perubahan warna, sekaligus meningkatkan kecerahan, sehingga kulit tampak bening dan bercahaya ",avoskin,avoskin ultra brightening cream,alpha arbutin retinol bha glycyrrhiza uralensis licorice root extract tocopheryl acetate squalane butyrospermum parkii shea butter glycerin cholesterol hydrogenated lecithin,berfungsi untuk membantu melawan tampilan kusam bintik hitam dan perubahan warna sekaligus meningkatkan kecerahan sehingga kulit tampak bening dan bercahaya,avoskin ultra brightening cream alpha arbutin retinol bha glycyrrhiza uralensis licorice root extract tocopheryl acetate squalane butyrospermum parkii shea butter glycerin cholesterol hydrogenated lecithin berfungsi untuk membantu melawan tampilan kusam bintik hitam dan perubahan warna sekaligus meningkatkan kecerahan sehingga kulit tampak bening dan bercahaya,avoskin ultra brightening cream alpha arbutin retinol bha glycyrrhiza uralensis licorice root extract tocopheryl acetate squalane butyrospermum parkii shea butter glycerin cholesterol hydrogenated lecithin berfungsi untuk membantu melawan tampilan kusam bintik hitam dan perubahan warna sekaligus meningkatkan kecerahan sehingga kulit tampak bening dan bercahaya,avoskin ultra brightening cream alpha arbutin retinol bha glycyrrhiza uralensis licorice root extract tocopheryl acetate squalane butyrospermum parkii shea butter glycerin cholesterol hydrogenated lecithin fungsi untuk bantu lawan tampil kusam bintik hitam dan ubah warna sekaligus tingkat cerah sehingga kulit tampak bening dan cahaya
Avoskin Your Skin Bae Alpha Arbutin + Grapeseed Concentrated Serum,Serum,"Alpha-Arbutin, Ananas Sativus (Pineapple) Fruit Extract, Vitis Vinifera (Grape) Seed Extract, Lecithin, Inositol, Tetrahydroxypropyl Ethylenediamine, Sodium Polyglutamate","kusam, sensitif, normal, kombinasi",mencerahkan kulit dan menjaga kulit tetap sehat dengan kandungan anti-oksidan yang tinggi.,avoskin,avoskin your skin bae alpha arbutin + grapeseed concentrated serum,alpha arbutin ananas sativus pineapple fruit extract vitis vinifera grape seed extract lecithin inositol tetrahydroxypropyl ethylenediamine sodium polyglutamate,mencerahkan kulit dan menjaga kulit tetap sehat dengan kandungan anti oksidan yang tinggi,avoskin your skin bae alpha arbutin + grapeseed concentrated serum alpha arbutin ananas sativus pineapple fruit extract vitis vinifera grape seed extract lecithin inositol tetrahydroxypropyl ethylenediamine sodium polyglutamate mencerahkan kulit dan menjaga kulit tetap sehat dengan kandungan anti oksidan yang tinggi,avoskin your skin bae alpha arbutin grapeseed concentrated serum alpha arbutin ananas sativus pineapple fruit extract vitis vinifera grape seed extract lecithin inositol tetrahydroxypropyl ethylenediamine sodium polyglutamate mencerahkan kulit dan menjaga kulit tetap sehat dengan kandungan anti oksidan yang tinggi,avoskin your skin bae alpha arbutin grapeseed concentrated serum alpha arbutin ananas sativus pineapple fruit extract vitis vinifera grape seed extract lecithin inositol tetrahydroxypropyl ethylenediamine sodium polyglutamate cerah kulit dan jaga kulit tetap sehat dengan kandung anti oksidan yang tinggi
"Avoskin Your Skin Bae Niacinamide 12% + Centella Asiatica
",Serum,"Niacinamide, Glycerin, Butylene Glycol, Biosaccharide Gum-1, Centella Asiatica Extract
","Sensitif, kering, kusam","menjaga kulit cerah maksimal, terhidrasi, terhindar dari masalah jerawat, dan iritasi.",avoskin,avoskin your skin bae niacinamide 12% + centella asiatica,niacinamide glycerin butylene glycol biosaccharide gum 1 centella asiatica extract,menjaga kulit cerah maksimal terhidrasi terhindar dari masalah jerawat dan iritasi,avoskin your skin bae niacinamide 12% + centella asiatica niacinamide glycerin butylene glycol biosaccharide gum 1 centella asiatica extract menjaga kulit cerah maksimal terhidrasi terhindar dari masalah jerawat dan iritasi,avoskin your skin bae niacinamide centella asiatica niacinamide glycerin butylene glycol biosaccharide gum centella asiatica extract menjaga kulit cerah maksimal terhidrasi terhindar dari masalah jerawat dan iritasi,avoskin your skin bae niacinamide centella asiatica niacinamide glycerin butylene glycol biosaccharide gum centella asiatica extract jaga kulit cerah maksimal hidrasi hindar dari masalah jerawat dan iritasi
"Avoskin Intensive Nourishing Eye Cream
",Eye cream,"Ethylhexyl Olivate, PEG-4 Olivate, Phytosteryl/Octyldodecyl Lauroyl Glutamate, Tocopherol, Aloe Barbadensis Leaf Extract, Cucumis Sativus (Cucumber) Fruit Extract, Collagen, Macadamia Ternifolia Nut Oil, Hyaluronic Acid, Vitis Vinifera (Grape) Seed Oil, Tea Tree (Melaleuca Alternifolia) Oil, Kojic Acid","kering, sensitif, kusam","Melembapkan kulit di sekitar mata sehingga dapat mencegah munculnya keriput.
Mengatasi mata panda karena memiliki kandungan pencerah alami dari ekstrak mentimun.
Mengencangkan kulit di area mata karena mengandung kafein dari ekstrak kopi.",avoskin,avoskin intensive nourishing eye cream,ethylhexyl olivate peg 4 olivate phytosteryl octyldodecyl lauroyl glutamate tocopherol aloe barbadensis leaf extract cucumis sativus cucumber fruit extract collagen macadamia ternifolia nut oil hyaluronic acid vitis vinifera grape seed oil tea tree melaleuca alternifolia oil kojic acid,melembapkan kulit di sekitar mata sehingga dapat mencegah munculnya keriput mengatasi mata panda karena memiliki kandungan pencerah alami dari ekstrak mentimun mengencangkan kulit di area mata karena mengandung kafein dari ekstrak kopi,avoskin intensive nourishing eye cream ethylhexyl olivate peg 4 olivate phytosteryl octyldodecyl lauroyl glutamate tocopherol aloe barbadensis leaf extract cucumis sativus cucumber fruit extract collagen macadamia ternifolia nut oil hyaluronic acid vitis vinifera grape seed oil tea tree melaleuca alternifolia oil kojic acid melembapkan kulit di sekitar mata sehingga dapat mencegah munculnya keriput mengatasi mata panda karena memiliki kandungan pencerah alami dari ekstrak mentimun mengencangkan kulit di area mata karena mengandung kafein dari ekstrak kopi,avoskin intensive nourishing eye cream ethylhexyl olivate peg olivate phytosteryl octyldodecyl lauroyl glutamate tocopherol aloe barbadensis leaf extract cucumis sativus cucumber fruit extract collagen macadamia ternifolia nut oil hyaluronic acid vitis vinifera grape seed oil tea tree melaleuca alternifolia oil kojic acid melembapkan kulit di sekitar mata sehingga dapat mencegah munculnya keriput mengatasi mata panda karena memiliki kandungan pencerah alami dari ekstrak mentimun mengencangkan kulit di area mata karena mengandung kafein dari ekstrak kopi,avoskin intensive nourishing eye cream ethylhexyl olivate peg olivate phytosteryl octyldodecyl lauroyl glutamate tocopherol aloe barbadensis leaf extract cucumis sativus cucumber fruit extract collagen macadamia ternifolia nut oil hyaluronic acid vitis vinifera grape seed oil tea tree melaleuca alternifolia oil kojic acid lembap kulit di sekitar mata sehingga dapat cegah muncul keriput atas mata panda karena milik kandung cerah alami dari ekstrak mentimun encang kulit di area mata karena kandung kafein dari ekstrak kopi
Avoskin Aloe Vera Facial Wash,Cleanser,"Sodium Cocoyl Alaninate, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Polyquaternium-39, Sodium PCA, Tocopherol, Aloe Barbadensis Leaf Extract","Normal, Kering","mampu mengangkat sel kulit mati hingga lapisan terdalam. Hasilnya, kulit terasa lebih segar, bersih, dengan pori-pori yang mengecil setelah penggunaannya.",avoskin,avoskin aloe vera facial wash,sodium cocoyl alaninate sodium laureth sulfate cocamidopropyl betaine polyquaternium 39 sodium pca tocopherol aloe barbadensis leaf extract,mampu mengangkat sel kulit mati hingga lapisan terdalam hasilnya kulit terasa lebih segar bersih dengan pori pori yang mengecil setelah penggunaannya,avoskin aloe vera facial wash sodium cocoyl alaninate sodium laureth sulfate cocamidopropyl betaine polyquaternium 39 sodium pca tocopherol aloe barbadensis leaf extract mampu mengangkat sel kulit mati hingga lapisan terdalam hasilnya kulit terasa lebih segar bersih dengan pori pori yang mengecil setelah penggunaannya,avoskin aloe vera facial wash sodium cocoyl alaninate sodium laureth sulfate cocamidopropyl betaine polyquaternium sodium pca tocopherol aloe barbadensis leaf extract mampu mengangkat sel kulit mati hingga lapisan terdalam hasilnya kulit terasa lebih segar bersih dengan pori pori yang mengecil setelah penggunaannya,avoskin aloe vera facial wash sodium cocoyl alaninate sodium laureth sulfate cocamidopropyl betaine polyquaternium sodium pca tocopherol aloe barbadensis leaf extract mampu angkat sel kulit mati hingga lapis dalam hasil kulit asa lebih segar bersih dengan pori pori yang kecil telah guna
Avoskin Perfect Hydrating Treatment Essence,Essence,"Ethyl Ascorbic Acid, Propylene Glycol, Glycerin, Chamomile (Anthemis Nobilis) Extract, Carrot (Carota Sativa) Oil, Rosa Canina (Rosehip) Oil","kusam, sensitif, kering","membuat kulit terasa lebih lembut dan kenyal, cerah alami, dengan pori-pori wajah yang kian mengecil dari hari ke hari dengan pemakaian rutin.",avoskin,avoskin perfect hydrating treatment essence,ethyl ascorbic acid propylene glycol glycerin chamomile anthemis nobilis extract carrot carota sativa oil rosa canina rosehip oil,membuat kulit terasa lebih lembut dan kenyal cerah alami dengan pori pori wajah yang kian mengecil dari hari ke hari dengan pemakaian rutin,avoskin perfect hydrating treatment essence ethyl ascorbic acid propylene glycol glycerin chamomile anthemis nobilis extract carrot carota sativa oil rosa canina rosehip oil membuat kulit terasa lebih lembut dan kenyal cerah alami dengan pori pori wajah yang kian mengecil dari hari ke hari dengan pemakaian rutin,avoskin perfect hydrating treatment essence ethyl ascorbic acid propylene glycol glycerin chamomile anthemis nobilis extract carrot carota sativa oil rosa canina rosehip oil membuat kulit terasa lebih lembut dan kenyal cerah alami dengan pori pori wajah yang kian mengecil dari hari ke hari dengan pemakaian rutin,avoskin perfect hydrating treatment essence ethyl ascorbic acid propylene glycol glycerin chamomile anthemis nobilis extract carrot carota sativa oil rosa canina rosehip oil buat kulit asa lebih lembut dan kenyal cerah alami dengan pori pori wajah yang kian kecil dari hari ke hari dengan pakai rutin
Avoskin Miraculous Retinol Toner,Toner,"Niacinamide, Retinol, Camellia Sinensis (Green Tea) Leaf Extract, Tocopheryl Acetate, Polyglutamic Acid, Rubus Idaeus (Raspberry) Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, BHA, Palmitoyl Hexapeptide-12, Cholesterol, Hydrogenated Lecithin","Keriput, kusam, sensitif, kering","membantu memicu proses regenerasi sel kulit, menyamarkan tampilan garis halus, membantu menghaluskan tekstur kulit, membantu mencerahkan kulit, merawat kulit agar tampak lebih sehat, dan membantu menyamarkan munculnya tanda-tanda penuaan dini.",avoskin,avoskin miraculous retinol toner,niacinamide retinol camellia sinensis green tea leaf extract tocopheryl acetate polyglutamic acid rubus idaeus raspberry fruit extract punica granatum pomegranate fruit extract bha palmitoyl hexapeptide 12 cholesterol hydrogenated lecithin,membantu memicu proses regenerasi sel kulit menyamarkan tampilan garis halus membantu menghaluskan tekstur kulit membantu mencerahkan kulit merawat kulit agar tampak lebih sehat dan membantu menyamarkan munculnya tanda tanda penuaan dini,avoskin miraculous retinol toner niacinamide retinol camellia sinensis green tea leaf extract tocopheryl acetate polyglutamic acid rubus idaeus raspberry fruit extract punica granatum pomegranate fruit extract bha palmitoyl hexapeptide 12 cholesterol hydrogenated lecithin membantu memicu proses regenerasi sel kulit menyamarkan tampilan garis halus membantu menghaluskan tekstur kulit membantu mencerahkan kulit merawat kulit agar tampak lebih sehat dan membantu menyamarkan munculnya tanda tanda penuaan dini,avoskin miraculous retinol toner niacinamide retinol camellia sinensis green tea leaf extract tocopheryl acetate polyglutamic acid rubus idaeus raspberry fruit extract punica granatum pomegranate fruit extract bha palmitoyl hexapeptide cholesterol hydrogenated lecithin membantu memicu proses regenerasi sel kulit menyamarkan tampilan garis halus membantu menghaluskan tekstur kulit membantu mencerahkan kulit merawat kulit agar tampak lebih sehat dan membantu menyamarkan munculnya tanda tanda penuaan dini,avoskin miraculous retinol toner niacinamide retinol camellia sinensis green tea leaf extract tocopheryl acetate polyglutamic acid rubus idaeus raspberry fruit extract punica granatum pomegranate fruit extract bha palmitoyl hexapeptide cholesterol hydrogenated lecithin bantu picu proses regenerasi sel kulit samar tampil garis halus bantu halus tekstur kulit bantu cerah kulit rawat kulit agar tampak lebih sehat dan bantu samar muncul tanda tanda tua dini
Avoskin Miraculous Refining Series AHA BHA PHA Sheet Mask,Mask,"Glycolic Acid, Gluconolactone, Salicylic Acid, Niacinamide, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Juice, Citrus Limon (Lemon) Fruit Extract, Portulaca Oleracea Extract, Polyglutamic Acid","Berminyak, acne prone, kusam, sensitif, kering",Memberikan sensasi melembapkan dan bekerja efektif untuk mencerahkan kulit dan memperbaiki tekstur kulit.,avoskin,avoskin miraculous refining series aha bha pha sheet mask,glycolic acid gluconolactone salicylic acid niacinamide melaleuca alternifolia tea tree leaf extract hamamelis virginiana witch hazel leaf extract rubus idaeus raspberry fruit extract chamomilla recutita matricaria flower extract aloe barbadensis leaf juice citrus limon lemon fruit extract portulaca oleracea extract polyglutamic acid,memberikan sensasi melembapkan dan bekerja efektif untuk mencerahkan kulit dan memperbaiki tekstur kulit,avoskin miraculous refining series aha bha pha sheet mask glycolic acid gluconolactone salicylic acid niacinamide melaleuca alternifolia tea tree leaf extract hamamelis virginiana witch hazel leaf extract rubus idaeus raspberry fruit extract chamomilla recutita matricaria flower extract aloe barbadensis leaf juice citrus limon lemon fruit extract portulaca oleracea extract polyglutamic acid memberikan sensasi melembapkan dan bekerja efektif untuk mencerahkan kulit dan memperbaiki tekstur kulit,avoskin miraculous refining series aha bha pha sheet mask glycolic acid gluconolactone salicylic acid niacinamide melaleuca alternifolia tea tree leaf extract hamamelis virginiana witch hazel leaf extract rubus idaeus raspberry fruit extract chamomilla recutita matricaria flower extract aloe barbadensis leaf juice citrus limon lemon fruit extract portulaca oleracea extract polyglutamic acid memberikan sensasi melembapkan dan bekerja efektif untuk mencerahkan kulit dan memperbaiki tekstur kulit,avoskin miraculous refining series aha bha pha sheet mask glycolic acid gluconolactone salicylic acid niacinamide melaleuca alternifolia tea tree leaf extract hamamelis virginiana witch hazel leaf extract rubus idaeus raspberry fruit extract chamomilla recutita matricaria flower extract aloe barbadensis leaf juice citrus limon lemon fruit extract portulaca oleracea extract polyglutamic acid beri sensasi lembap dan kerja efektif untuk cerah kulit dan baik tekstur kulit
Avoskin Miraculous Divine Aura Toner-essence,Toner,"Niacinamide, 3-O-Ethyl Ascorbic Acid, Zinc PCA, Rosa Canina (Rosehip) Fruit Extract, Hydrolyzed Hyaluronic Acid, Lactic Acid, Betula Alba (Birch) Leaf Extract, Sodium PCA","Kusam, Kering, Berminyak, sensitif","membantu mencerahkan warna kulit, mengurangi tampilan bintik hitam, merawat kulit berjerawat, menjaga elastisitas kulit, mengurangi tampilan pori-pori dan membantu melembapkan kulit secara optimal.",avoskin,avoskin miraculous divine aura toner essence,niacinamide 3 o ethyl ascorbic acid zinc pca rosa canina rosehip fruit extract hydrolyzed hyaluronic acid lactic acid betula alba birch leaf extract sodium pca,membantu mencerahkan warna kulit mengurangi tampilan bintik hitam merawat kulit berjerawat menjaga elastisitas kulit mengurangi tampilan pori pori dan membantu melembapkan kulit secara optimal,avoskin miraculous divine aura toner essence niacinamide 3 o ethyl ascorbic acid zinc pca rosa canina rosehip fruit extract hydrolyzed hyaluronic acid lactic acid betula alba birch leaf extract sodium pca membantu mencerahkan warna kulit mengurangi tampilan bintik hitam merawat kulit berjerawat menjaga elastisitas kulit mengurangi tampilan pori pori dan membantu melembapkan kulit secara optimal,avoskin miraculous divine aura toner essence niacinamide o ethyl ascorbic acid zinc pca rosa canina rosehip fruit extract hydrolyzed hyaluronic acid lactic acid betula alba birch leaf extract sodium pca membantu mencerahkan warna kulit mengurangi tampilan bintik hitam merawat kulit berjerawat menjaga elastisitas kulit mengurangi tampilan pori pori dan membantu melembapkan kulit secara optimal,avoskin miraculous divine aura toner essence niacinamide o ethyl ascorbic acid zinc pca rosa canina rosehip fruit extract hydrolyzed hyaluronic acid lactic acid betula alba birch leaf extract sodium pca bantu cerah warna kulit kurang tampil bintik hitam rawat kulit jerawat jaga elastisitas kulit kurang tampil pori pori dan bantu lembap kulit cara optimal
